local;block;time;gen;pheno1
1;1;1;gen1;42.9
1;1;1;gen2;53.8
1;1;1;gen3;49.5
1;1;1;gen4;44.4
1;2;1;gen1;41.6
1;2;1;gen2;58.5
1;2;1;gen3;53.8
1;2;1;gen4;41.8
1;3;1;gen1;28.9
1;3;1;gen2;43.9
1;3;1;gen3;40.7
1;3;1;gen4;28.3
1;4;1;gen1;30.8
1;4;1;gen2;46.3
1;4;1;gen3;39.4
1;4;1;gen4;34.7
1;1;2;gen1;53.3
1;1;2;gen2;57.6
1;1;2;gen3;59.8
1;1;2;gen4;64.1
1;2;2;gen1;69.6
1;2;2;gen2;69.6
1;2;2;gen3;65.8
1;2;2;gen4;57.4
1;3;2;gen1;45.4
1;3;2;gen2;42.4
1;3;2;gen3;41.4
1;3;2;gen4;44.1
1;4;2;gen1;35.1
1;4;2;gen2;51.9
1;4;2;gen3;45.4
1;4;2;gen4;51.6
1;1;3;gen1;62.3
1;1;3;gen2;63.4
1;1;3;gen3;64.5
1;1;3;gen4;63.6
1;2;3;gen1;58.5
1;2;3;gen2;50.4
1;2;3;gen3;46.1
1;2;3;gen4;56.1
1;3;3;gen1;44.6
1;3;3;gen2;45.0
1;3;3;gen3;62.6
1;3;3;gen4;52.7
1;4;3;gen1;50.3
1;4;3;gen2;46.7
1;4;3;gen3;50.3
1;4;3;gen4;51.8
1;1;4;gen1;75.4
1;1;4;gen2;70.3
1;1;4;gen3;68.8
1;1;4;gen4;71.6
1;2;4;gen1;65.6
1;2;4;gen2;67.3
1;2;4;gen3;65.3
1;2;4;gen4;69.4
1;3;4;gen1;54.0
1;3;4;gen2;57.6
1;3;4;gen3;45.6
1;3;4;gen4;56.6
1;4;4;gen1;52.7
1;4;4;gen2;58.5
1;4;4;gen3;51.0
1;4;4;gen4;47.4
